iter	Passed	Remaining
203	617	895
204	620	892
205	623	889
206	626	886
207	629	883
208	632	880
209	635	877
210	638	874
211	641	871
212	644	868
213	647	865
214	650	862
215	653	859
216	656	856
217	659	853
218	662	850
219	665	847
220	668	844
221	671	841
222	674	838
223	677	835
224	681	832
225	684	829
226	686	826
227	690	823
228	692	819
229	695	816
230	699	814
231	702	811
232	705	808
233	708	805
234	711	802
235	714	799
236	717	795
237	720	792
238	723	789
239	726	786
240	729	783
241	732	780
242	735	777
243	738	774
244	741	771
245	744	768
246	747	765
247	750	762
248	753	759
249	756	756
250	759	753
251	762	750
252	765	747
253	768	744
254	772	741
255	774	738
256	778	735
257	781	732
258	784	729
259	787	726
260	790	723
261	793	720
262	796	717
263	799	714
264	802	711
265	805	708
266	808	705
267	811	702
268	814	699
269	817	696
270	820	693
271	824	690
272	827	688
273	831	685
274	834	682
275	837	680
276	841	677
277	844	674
278	847	671
279	850	668
280	853	665
281	856	661
282	859	658
283	862	655
284	865	652
285	868	650
286	872	647
287	875	644
288	878	641
289	881	638
290	884	635
291	887	632
292	891	629
293	893	626
294	897	623
295	900	620
296	903	617
297	906	614
298	909	611
299	912	608
300	915	605
301	919	602
302	922	599
303	925	596
304	928	593
305	931	590
306	934	587
307	937	584
308	940	581
309	943	578
310	946	575
311	949	572
312	952	569
313	955	566
314	958	562
315	961	560
316	965	557
317	968	554
318	971	551
319	974	548
320	977	544
321	980	541
322	982	538
323	985	535
324	988	532
325	991	529
326	994	526
327	998	523
328	1001	520
329	1004	517
330	1007	514
331	1010	511
332	1013	508
333	1016	505
334	1020	502
335	1023	499
336	1026	496
337	1029	493
338	1032	490
339	1035	487
340	1038	484
341	1041	481
342	1044	477
343	1047	474
344	1050	471
345	1053	468
346	1056	465
347	1058	462
348	1062	459
349	1065	456
350	1067	453
351	1070	450
352	1073	447
353	1076	443
354	1079	440
355	1082	437
356	1085	434
357	1088	431
358	1091	428
359	1094	425
360	1097	422
361	1100	419
362	1102	416
363	1105	413
364	1108	410
365	1111	407
366	1114	404
367	1117	400
368	1120	397
369	1123	394
370	1126	391
371	1129	388
372	1132	385
373	1135	382
374	1138	379
375	1141	376
376	1144	373
377	1147	370
378	1150	367
379	1153	364
380	1156	361
381	1159	358
382	1162	355
383	1165	352
384	1168	349
385	1171	345
386	1174	342
387	1177	339
388	1180	336
389	1183	333
390	1186	330
391	1189	327
392	1192	324
393	1195	321
394	1198	318
395	1201	315
396	1204	312
397	1207	309
398	1210	306
399	1213	303
400	1216	300
401	1218	297
402	1221	294
403	1224	291
404	1228	288
405	1231	285
406	1234	282
407	1237	279
408	1240	275
409	1243	272
410	1246	269
411	1249	266
412	1252	263
413	1255	260
414	1258	257
415	1262	254
416	1265	251
417	1268	248
418	1271	245
419	1274	242
420	1278	239
421	1281	236
422	1284	233
423	1287	230
424	1290	227
425	1293	224
426	1296	221
427	1299	218
428	1302	215
429	1305	212
430	1308	209
431	1311	206
432	1314	203
433	1317	200
434	1320	197
435	1324	194
436	1327	191
437	1330	188
438	1333	185
439	1336	182
440	1339	179
441	1342	176
442	1346	173
443	1348	170
444	1351	167
445	1354	164
446	1358	161
447	1361	158
448	1364	154
449	1367	151
450	1370	148
451	1373	145
452	1376	142
453	1379	139
454	1382	136
455	1385	133
456	1388	130
457	1392	127
458	1394	124
459	1397	121
460	1401	118
461	1403	115
462	1406	112
463	1409	109
464	1412	106
465	1416	103
466	1419	100
467	1422	97
468	1425	94
469	1429	91
470	1431	88
471	1434	85
472	1437	82
473	1441	79
474	1444	76
475	1447	72
476	1449	69
477	1452	66
478	1456	63
479	1459	60
480	1462	57
481	1465	54
482	1467	51
483	1470	48
484	1474	45
485	1477	42
486	1480	39
487	1483	36
488	1486	33
489	1489	30
490	1492	27
491	1495	24
492	1498	21
493	1501	18
494	1504	15
495	1507	12
496	1510	9
497	1513	6
498	1517	3
499	1520	0
