iter	RMSE
147	1681047.097
148	1676043.927
149	1674089.822
150	1666007.59
151	1664043.497
152	1660855.964
153	1656122.152
154	1653977.961
155	1648401.366
156	1644927.925
157	1643251.779
158	1639909.621
159	1637966.341
160	1634429.647
161	1627856.321
162	1621671.685
163	1617187.913
164	1614148.173
165	1608005.905
166	1604554.994
167	1602610.399
168	1596020.548
169	1590333.494
170	1588162.364
171	1585576.821
172	1582898.424
173	1578255.934
174	1574392.379
175	1571756.069
176	1569319.66
177	1568227.123
178	1565844.149
179	1564080.218
180	1559459.443
181	1554315.306
182	1546862.252
183	1542419.583
184	1539500.7
185	1537351.176
186	1535116.263
187	1533495.808
188	1529055.029
189	1524224.709
190	1520806.495
191	1514039.677
192	1512516.158
193	1508722.609
194	1507267.275
195	1505271.228
196	1501046.529
197	1495917.745
198	1492358.999
199	1486853.236
200	1483302.07
201	1482098.901
202	1479605.887
203	1478053.642
204	1476745.438
205	1473665.482
206	1469903.46
207	1468812.916
208	1467171.869
209	1464436.753
210	1461201.845
211	1457570.729
212	1455340.292
213	1454091.837
214	1448747.179
215	1444670.666
216	1441064.887
217	1436080.726
218	1432609.191
219	1427825.274
220	1426710.465
221	1422278.603
222	1419054.783
223	1414802.306
224	1410757.532
225	1406881.027
226	1405397.813
227	1401268.534
228	1396993.038
229	1395936.005
230	1392727.861
231	1390190.799
232	1388692.708
233	1386353.507
234	1384250.149
235	1382555.825
236	1379891.305
237	1376364.892
238	1374979.968
239	1372926.871
240	1370475.938
241	1366239.713
242	1362472.42
243	1361393.848
244	1358639.946
245	1356604.884
246	1355127.549
247	1352639.888
248	1350832.897
249	1349822.936
250	1347105.414
251	1346273.478
252	1342852.524
253	1340769.116
254	1338336.059
255	1335935.423
256	1332911.904
257	1330264.8
258	1328094.747
259	1325792.643
260	1323958.639
261	1322407.227
262	1318758.607
263	1316644.178
264	1315703.518
265	1313654.294
266	1312134.523
267	1309766.973
268	1307841.941
269	1306455.472
270	1304297.501
271	1302317.13
272	1300371.875
273	1298716.286
274	1295003.943
275	1292421.185
276	1290731.541
277	1289708.633
278	1287582.11
279	1285218.259
280	1284799.437
281	1283018.58
282	1281698.123
283	1279658.847
284	1278117.532
285	1276344.045
286	1274966.53
287	1273616.176
288	1272903.469
289	1270799.805
290	1269675.079
291	1268464.54
292	1266596.936
293	1264883.562
294	1263047.4
295	1260596.036
296	1259231.676
297	1257745.009
298	1256426.834
299	1253868.484
300	1252569.314
301	1252159.653
302	1249077.715
303	1246359.84
304	1243469.05
305	1241949.524
306	1240124.421
307	1238679.61
308	1237031.459
309	1235463.62
310	1234708.623
311	1233851.433
312	1231888.226
313	1230189.47
314	1229239.736
315	1227754.594
316	1226510.888
317	1225009.822
318	1221972.444
319	1220426.747
320	1219285.008
321	1216756.022
322	1215533.752
323	1214151.033
324	1213117.865
325	1212224.52
326	1211313.789
327	1210384.385
328	1209424.48
329	1208726.318
330	1207631.741
331	1205753.242
332	1204608.085
333	1203255.798
334	1202599.411
335	1201989.76
336	1200898.089
337	1200556.413
338	1200244.066
339	1199957.96
340	1199695.391
341	1199453.993
342	1199231.682
343	1199026.618
344	1198789.926
345	1198605.547
346	1198278.74
347	1197761.721
348	1197557.957
349	1197475.394
350	1197414.304
351	1196823.169
352	1196768.137
353	1196412.091
354	1196361.626
355	1195358.789
356	1194850.279
357	1194804.451
358	1194010.279
359	1193966.843
360	1193077.775
361	1191678.729
362	1190909.591
363	1189846.122
364	1188493.709
365	1187173.421
366	1186038.714
367	1183968.161
368	1183927.502
369	1183888.543
370	1183513.435
371	1183097.16
372	1183062.687
373	1182355.86
374	1181579.496
375	1180885.28
376	1179864.457
377	1178815.99
378	1177553.662
379	1175647.671
380	1175365.106
381	1174003.825
382	1173662.121
383	1173271.499
384	1172859.767
385	1172363.081
386	1172223.9
387	1171891.655
388	1171136.459
389	1170856.024
390	1169643.492
391	1169052.633
392	1168924.309
393	1166530.582
394	1165927.083
395	1165090.181
396	1163048.134
397	1162281.821
398	1160807.356
399	1159813.494
400	1159502.621
401	1159088.261
402	1158666.168
403	1157813.951
404	1157058.371
405	1155759.694
406	1155141.664
407	1154289.041
408	1153669.416
409	1151311.86
410	1150307.49
411	1148912.372
412	1148218.295
413	1147363.27
414	1146220.226
415	1144853.749
416	1143810.593
417	1143036.317
418	1142221.281
419	1141183.073
420	1139953.819
421	1137461.248
422	1137103.679
423	1136599.8
424	1136024.728
425	1135364.164
426	1134583.839
427	1133905.195
428	1133354.537
429	1132429.404
430	1129742.518
431	1129550.55
432	1128960.445
433	1128475.462
434	1127565.613
435	1127459.103
436	1126850.306
437	1126054.834
438	1125368.271
439	1124749.173
440	1124026.951
441	1123800.131
442	1123116.775
443	1122554.13
444	1122105.829
445	1121058.093
446	1120304.892
447	1119653.415
448	1119172.518
449	1118521.993
450	1118068.864
451	1117125.461
452	1115350.883
453	1114740.614
454	1114455.2
455	1113865.433
456	1113411.454
457	1112768.217
458	1111206.349
459	1110769.472
460	1110309.118
461	1108372.755
462	1107832.924
463	1107629.552
464	1106551.625
465	1106241.434
466	1105754.17
467	1105433.639
468	1104545.496
469	1103529.643
470	1101454.403
471	1100975.585
472	1099512.944
473	1098690.035
474	1098313.512
475	1097336.65
476	1096998.088
477	1096056.029
478	1095558.969
479	1095273.23
480	1094999.682
481	1094737.427
482	1093614.907
483	1092721.763
484	1092377.24
485	1090219.961
486	1089595.706
487	1088309.67
488	1086157.933
489	1085629.896
490	1084925.754
491	1084177.336
492	1083831.974
493	1082641.773
494	1082021.016
495	1079985.507
496	1079449.378
497	1077534.895
498	1075639.142
499	1075200.592
